ID,InDegree,OutDegree,TotalPosts,MeanWordCount,LikeRate,PercentQuestions,PercentURLs,MeanPostsPerThread,InitiationRatio,MeanPostsPerSubForum,PercBiNeighbours,AccountAge
107,15,13,30,48,0.3,0.433333,0.033333,2.5,0.333333,15,0.217391,29
108,51,54,75,111,0.933333,0.293333,0.026667,1.470588,0.098039,6.818182,0.329114,56
109,2,1,1,72,0,0,0,1,0,1,0,1
110,19,23,26,103,0.884615,0.153846,0,1.444444,0.055556,3.714286,0.166667,107
111,4,2,5,47,0,0.2,0,1,0.6,1,0,26
112,11,15,19,100,0.105263,0.578947,0,1.461538,0.153846,9.5,0.130435,10
113,2,1,2,13,0,0.5,0,2,1,2,0,40
114,9,7,10,39,0,0.1,0,2.5,0.5,2.5,0.230769,90
115,2,3,3,14,0.333333,0,0,1.5,0,1.5,0.25,61
116,3,4,8,51,0.625,0.125,0.125,2,0,4,0.4,80
117,4,1,2,73,0.5,0.5,0,1,0.5,2,0,100
118,3,5,8,44,0,0.125,0,8,0,8,0.6,77
119,164,164,453,113,0.757174,0.198675,0.041943,2.087558,0.147465,28.3125,0.53271,64
120,7,8,8,65,0.375,0.25,0,2,0,2.666667,0.25,20
121,2,2,3,14,0,0,0,1,0,1,0,55
122,2,1,2,28,2,0,0,1,0,2,0,88
123,4,3,4,30,0.5,0,0,1,0,4,0.4,107
124,47,35,50,128,1.86,0.12,0.02,2.173913,0.173913,12.5,0.301587,77
125,1,1,8,189,0.375,0.625,0.875,2,0.75,8,1,55
126,16,7,14,87,0.285714,0.285714,0.071429,2,0.142857,7,0.210526,21
127,10,11,12,30,0.583333,0.166667,0.083333,2,0.166667,6,0.166667,38
128,6,4,8,57,2.25,0.125,0,1.6,0.2,8,0.25,57
129,93,133,244,105,0.5,0.463115,0.008197,2.301887,0,15.25,0.395062,45
130,1,1,1,139,0,0,0,1,0,1,1,26
131,22,24,33,98,0.545455,0.454545,0,2.2,0.066667,11,0.393939,2
132,3,1,3,165,0,0.333333,0,1.5,1,1.5,0.333333,107
133,1,0,1,17,0,0,1,1,0,1,0,1
134,7,6,8,337,0,0.375,0,4,0,8,0.3,103
135,93,91,308,48,0.87987,0.331169,0.019481,3.710843,0.048193,30.8,0.483871,90
136,64,61,104,96,1.855769,0.288462,0.028846,2.039216,0.117647,9.454545,0.420455,46
137,1,0,2,236,1.5,0.5,0,1,0.5,1,0,23
138,2,2,2,68,0,0.5,0,1,0,1,0,79
139,41,44,145,204,0.013793,0.717241,0.034483,11.153846,0.153846,20.714286,0.770833,30
140,27,31,41,192,0.95122,0.170732,0.04878,1.413793,0.172414,13.666667,0.318182,10
141,97,108,212,86,0.037736,0.316038,0.004717,2.789474,0,21.2,0.485507,60
142,4,3,4,14,0.5,0,0.25,1,0.25,1,0,60
143,2,2,2,40,0.5,0.5,0,1,0,1,0,59
144,23,15,26,115,0.076923,0.307692,0,2.888889,0.555556,6.5,0.151515,17
145,83,71,174,44,0.666667,0.212644,0.034483,1.793814,0.237113,13.384615,0.327586,8
146,5,2,4,35,3,0,0,4,0,4,0,91
147,5,5,5,65,0,0,0,1,0,2.5,0.25,46
148,2,2,2,53,0,0,0,1,0,1,1,81
149,51,60,93,61,0.978495,0.290323,0,1.690909,0,7.75,0.275862,86
150,97,95,274,75,0.642336,0.270073,0.007299,3.223529,0.023529,22.833333,0.560976,26
151,28,27,49,51,1.367347,0.204082,0.061224,2.041667,0.166667,4.454545,0.25,104
152,32,39,66,57,0.348485,0.454545,0.030303,3,0.181818,8.25,0.392157,88
153,13,25,26,36,0.153846,0.153846,0,1.083333,0,3.714286,0.055556,84
154,13,11,13,174,1.384615,0.461538,0.153846,1.444444,0.222222,1.857143,0.2,20
155,5,4,5,108,0.8,0,0,1.25,0,2.5,0.125,4
156,67,63,147,100,1.204082,0.244898,0.095238,2.333333,0.238095,29.4,0.460674,3
157,1,0,5,219,0,0,1,1,1,5,0,39
158,2,0,7,803,1.714286,0.857143,0,1.166667,1,1.75,0,38
159,23,26,33,59,0.272727,0.363636,0,1.833333,0.055556,6.6,0.225,90
160,26,19,28,85,0.678571,0.357143,0,3.111111,0.666667,14,0.363636,34
161,71,84,126,77,0.674603,0.261905,0.111111,1.536585,0.012195,7.875,0.371681,64
162,2,2,3,111,0.333333,0,0,3,0,3,0.333333,97
163,1,1,4,604,0.25,0.25,0.5,1,0.75,1.333333,0,96
164,1,0,1,67,0,0,0,1,1,1,0,60
165,48,45,83,19,0.349398,0.325301,0.036145,1.537037,0.074074,5.533333,0.328571,77
166,28,27,30,32,1.366667,0.166667,0,1.5,0.05,3.75,0.222222,67
167,19,17,55,78,0.054545,0.472727,0.054545,55,0,55,0.714286,64
168,5,3,4,31,0,0.25,0,2,0,2,0.142857,31
169,1,1,1,9,0,0,0,1,0,1,0,55
170,5,2,6,331,0,0.666667,0.166667,1.5,0.5,2,0.166667,34
171,2,2,4,1136,0,1,0,4,1,4,1,11
172,218,240,980,51,1.64898,0.185714,0.010204,2.300469,0.070423,51.578947,0.547297,66
173,5,2,4,83,0,0.25,0,2,0.5,2,0.166667,2
174,102,108,225,82,1.493333,0.315556,0.022222,1.654412,0.036765,14.0625,0.468531,65
175,2,2,1,89,0,1,0,1,0,1,0.333333,50
176,11,9,13,51,0,0.615385,0,2.166667,0.333333,4.333333,0.333333,42
177,6,10,17,117,2.058824,0.176471,0,2.125,0.375,17,0.454545,47
178,26,36,30,116,1.033333,0.333333,0.033333,1.875,0.125,4.285714,0.347826,52
179,19,22,26,21,0.192308,0.230769,0,1.444444,0,26,0.322581,78
180,18,23,22,27,0.409091,0.318182,0,1.222222,0.055556,11,0.108108,30
181,20,22,26,44,0.307692,0.230769,0,1.130435,0.043478,6.5,0.135135,41
182,140,144,459,53,0.525054,0.357298,0.008715,2.607955,0.073864,27,0.543478,25
183,80,76,134,86,1.141791,0.201493,0.037313,1.914286,0.157143,8.933333,0.368421,68
184,113,114,202,37,0.272277,0.39604,0.009901,1.603175,0.007937,18.363636,0.401235,50
185,1,1,1,40,0,0,0,1,0,1,1,1
186,1,1,2,78,0.5,0,0,2,1,2,0,29
187,88,88,480,180,0.377083,0.370833,0.004167,10.434783,0.130435,60,0.466667,48
188,4,1,1,121,0,0,1,1,0,1,0.25,70
189,3,0,5,862,0.2,0.2,0.2,1,0.8,1.25,0,42
190,7,8,18,56,0.277778,0.222222,0,1.5,0.666667,9,0.363636,72
191,6,5,11,45,0.727273,0.272727,0,1.375,0.5,2.2,0.375,96
192,66,63,156,64,1.044872,0.314103,0.057692,1.625,0.15625,13,0.30303,41
193,74,69,187,104,0.240642,0.256684,0.016043,2.710145,0.304348,17,0.401961,77
194,55,57,88,172,1.738636,0.204545,0.056818,1.294118,0.161765,5.176471,0.317647,98
195,2,2,3,380,1.666667,0.333333,0,3,1,3,1,10
196,2,2,3,196,0.666667,0.333333,0.666667,3,1,3,0.333333,107
197,132,147,304,76,0.881579,0.299342,0.009868,1.831325,0.072289,27.636364,0.460733,93
198,1,1,1,2,0,0,0,1,0,1,0,68
199,1,2,2,103,2,0,0,1,0,1,0,76
200,149,158,400,106,0.245,0.3775,0.0075,2.758621,0.255172,40,0.519802,86
201,12,11,15,125,0.533333,0.333333,0,1.25,0.166667,2.5,0,72
202,17,16,29,84,0.310345,0.137931,0.068966,1.8125,0.4375,14.5,0.32,66
203,38,38,78,142,0.051282,0.474359,0.012821,5.571429,0.142857,26,0.461538,56
204,1,0,2,224,0,1,0,2,1,2,0,70
205,1,0,2,23,0,0.5,0,2,1,2,0,1
206,6,5,6,229,0.333333,0.666667,0,1.2,0,2,0.222222,81
207,25,24,26,128,0.115385,0.653846,0,2.6,0.6,6.5,0.361111,19
208,4,4,5,152,0.8,0.2,0.2,2.5,0,5,0.6,35
209,1,1,1,0,0,0,0,1,0,1,0,82
210,79,80,151,53,0.596026,0.311258,0.019868,2.040541,0.054054,11.615385,0.347458,13
211,4,6,4,96,0.5,0.25,0,1.333333,0,2,0,11
212,1,2,1,34,2,0,0,1,0,1,0,105
213,34,33,68,112,0.544118,0.132353,0.073529,1.837838,0.162162,68,0.264151,103
214,1,0,2,165,0,0.5,1,1,1,2,0,76
215,16,9,16,75,0.0625,0.375,0,1.777778,0.111111,5.333333,0.25,105
216,53,63,113,79,0.672566,0.230088,0.035398,2.627907,0.093023,9.416667,0.414634,87
217,27,37,59,35,0.033898,0.305085,0,2.95,0.2,8.428571,0.361702,87
218,5,3,3,133,0,0,0,1.5,0,1.5,0,44
219,3,5,9,232,0.444444,0.333333,0,3,0,9,0.6,47
220,1,0,1,132,0,1,0,1,1,1,0,42
221,125,116,310,25,0.645161,0.177419,0.006452,2.719298,0,25.833333,0.50625,91
222,2,2,1,556,11,1,0,1,0,1,0,45
223,12,8,12,30,0.416667,0.166667,0,1.2,0.3,2,0.176471,57
224,4,4,11,39,0.181818,0.363636,0.090909,1.222222,0.777778,3.666667,0.142857,14
225,8,8,10,53,0,0.8,0,10,0,10,0.333333,76
226,1,0,1,27,0,0,1,1,1,1,0,68
227,2,3,3,28,1.333333,0.333333,0,1.5,0,3,0.25,13
228,3,2,3,30,0.333333,0.666667,0,1,0.333333,1.5,0,63
229,30,21,69,361,0.521739,0.637681,0.231884,4.928571,0.142857,34.5,0.545455,33
230,1,0,3,87,0,0.666667,1,1,0.666667,3,0,40
231,20,18,24,98,0.291667,0.541667,0.041667,2,0.25,3.428571,0.357143,14
232,1,1,2,57,0.5,0.5,0,1,0,1,0,46
233,9,10,12,262,1,0.416667,0.166667,1.2,0.3,2.4,0.266667,16
234,2,2,2,36,0.5,0,0,1,0,2,0.333333,20
235,168,177,497,286,1.503018,0.513078,0.074447,1.972222,0.071429,27.611111,0.540179,71
236,93,82,198,112,0.126263,0.515152,0.025253,2.675676,0.121622,66,0.495726,60
237,2,0,3,20,0.666667,0,0,1,1,1,0,51
238,10,5,8,74,0.125,0.25,0,4,1,8,0.25,94
239,132,129,275,337,0.694545,0.385455,0.025455,1.909722,0.034722,30.555556,0.535294,85
240,26,25,74,79,0.405405,0.175676,0.135135,1.897436,0.564103,10.571429,0.275,108
241,49,52,94,76,1.138298,0.223404,0.010638,2.685714,0,7.833333,0.402778,105
242,113,114,223,50,0.699552,0.201794,0.03139,1.351515,0.157576,14.866667,0.409938,59
243,20,14,13,149,0,0.307692,0,1.625,0,6.5,0.214286,103
244,4,4,4,54,0,0.5,0,1,0,1,0.142857,31
245,1,0,1,3,0,1,0,1,1,1,0,10
246,0,4,12,222,0.083333,0.083333,0.333333,1.2,0.2,2.4,0,44
247,7,7,10,20,0,0.4,0,2.5,0,5,0.4,73
248,165,169,401,109,0.785536,0.433915,0.032419,2.252809,0,25.0625,0.477876,46
249,10,11,24,64,0.208333,0.375,0.291667,3.428571,0,6,0.615385,27
250,1,0,1,53,0,0,0,1,1,1,0,21
251,1,0,2,64,0,0.5,0,1,0.5,2,0,73
252,4,2,4,88,0,0.75,0,1,0,2,0.2,10
253,1,0,1,145,2,0,0,1,1,1,0,107
254,54,55,79,52,0.696203,0.202532,0.075949,1.295082,0.098361,5.642857,0.313253,92
255,154,162,456,61,0.725877,0.144737,0.041667,1.605634,0.151408,28.5,0.483568,21
256,2,1,3,44,0.333333,0,0,1,0,1.5,0,21
257,2,2,2,20,0,0,0,1,0,1,0.333333,107
258,3,5,7,33,0.142857,0.285714,0.142857,1.166667,0,1.4,0.142857,76
259,4,6,7,26,0.142857,0,0.142857,1,0,1.4,0.111111,33
260,3,4,3,100,0,0.333333,0,1,0,1,0,14
261,11,12,13,68,0.230769,0.307692,0.076923,1.3,0.1,4.333333,0.095238,64
262,107,99,193,59,0.647668,0.336788,0.020725,1.595041,0.057851,16.083333,0.337662,74
263,17,14,27,137,0.222222,0.259259,0.074074,2.7,0.3,5.4,0.291667,39
264,68,63,119,62,1.344538,0.12605,0.02521,1.724638,0.173913,8.5,0.378947,21
265,2,0,2,284,0.5,0,0,1,0.5,2,0,92
266,2,1,8,734,0.5,0.75,0.375,1.333333,0.666667,2.666667,0,99
267,16,13,16,122,0.4375,0.25,0.0625,1.454545,0.090909,4,0.16,73
268,24,19,40,72,0,0.575,0,5,0.125,13.333333,0.433333,92
269,5,3,6,176,0.333333,0.333333,0,1.5,0.25,3,0.142857,27
270,6,5,7,64,0.285714,0.428571,0.142857,2.333333,0.333333,2.333333,0.222222,50
271,7,9,10,177,0.4,0.3,0,1.25,0.125,2,0.142857,58
272,0,1,1,47,2,0,0,1,0,1,0,7
273,124,136,447,75,0.38255,0.333333,0.035794,4.17757,0.158879,74.5,0.547619,77
274,1,1,2,48,0,0,0.5,2,1,2,1,18
275,12,13,16,32,0.625,0.1875,0,2.285714,0.142857,5.333333,0.25,25
276,5,4,5,41,0.4,0.4,0,1,0,1.25,0.125,24
277,30,29,47,94,0.170213,0.425532,0,2.9375,0,7.833333,0.404762,100
278,3,3,5,207,0,0.2,0,1.25,0.5,2.5,0.2,91
279,1,0,2,12,0,0.5,0,1,0,1,0,9
280,1,1,1,66,0,0,0,1,0,1,1,21
281,27,25,40,34,0.7,0.175,0,1.428571,0.035714,4.444444,0.155556,4
282,2,3,3,166,0.333333,0,0,3,0,3,0.25,31
283,6,6,7,33,0.428571,0,0,2.333333,0,3.5,0.090909,12
284,1,0,1,36,3,0,1,1,1,1,0,37
285,7,4,5,209,0.4,0.4,0.2,1.25,0.25,1.666667,0.1,105
286,3,2,3,23,0,0.333333,0,1,0,1,0,10
287,6,4,7,212,0.142857,0.428571,0.142857,1.166667,0.5,7,0.25,48
288,15,13,60,313,0.1,0.4,0.033333,20,0,60,0.75,32
289,32,24,34,157,1.264706,0.176471,0,1.172414,0.137931,4.25,0.191489,103
290,28,22,32,53,0.59375,0.3125,0.03125,1.066667,0.233333,4,0.219512,22
291,57,56,103,77,0.747573,0.262136,0.029126,2.019608,0.117647,6.4375,0.329412,8
292,101,122,239,69,1.146444,0.242678,0.033473,1.49375,0.075,15.933333,0.411392,85
293,5,3,3,55,0.333333,0.333333,0.333333,1,0.333333,3,0.142857,104
294,79,78,123,70,0.95122,0.325203,0.02439,1.5375,0.0625,10.25,0.389381,59
295,4,3,6,86,0.333333,0.166667,0,1.2,0.2,2,0,92
296,1,1,2,29,0,0,0,2,1,2,0,4
297,17,29,82,49,0,0.365854,0.060976,82,0,82,0.4375,104
298,20,18,59,306,0.067797,0.576271,0.067797,4.214286,0.571429,8.428571,0.461538,74
299,4,1,1,21,0,0,0,1,0,1,0.25,77
300,1,1,1,57,2,0,0,1,0,1,0,78
301,8,8,11,87,0.363636,0.454545,0.272727,1.833333,0,5.5,0.333333,11
302,8,5,17,89,0.941176,0.176471,0.352941,1.307692,0.153846,8.5,0.3,40
303,9,7,17,158,0.058824,0.117647,0.058824,1.307692,0.230769,8.5,0.142857,19
304,3,2,3,32,0.333333,0.333333,0,1,0.333333,3,0,17
305,1,2,2,27,5,0.5,0,1,0,2,0,66
306,25,26,44,119,0.590909,0.136364,0.113636,1.571429,0.107143,4.888889,0.243902,56
307,1,1,1,18,0,1,0,1,0,1,0,108
308,9,9,24,83,2.041667,0.208333,0,6,1.25,4.8,0.2,33
309,4,7,5,51,0.6,0.2,0,2.5,0.5,5,0.1,29
310,1,1,2,0,0,0,0,1,0,2,0,7
311,5,3,4,52,1,0,0,1.333333,0.333333,1.333333,0.333333,79
312,1,1,1,104,0,1,0,1,0,1,0,89
313,47,44,91,75,0.131868,0.186813,0,3.791667,0.083333,9.1,0.421875,74
314,2,3,3,165,0.333333,0,0.333333,1,0,1,0,40
315,28,32,72,183,0.805556,0.319444,0.263889,2.25,0.28125,6,0.25,31
316,12,13,16,89,0.375,0.25,0.0625,2.285714,0.285714,3.2,0.190476,2
317,1,0,1,28,0,1,0,1,1,1,0,82
318,2,2,3,52,0,0,0,3,1,3,1,71
319,25,29,46,83,0.608696,0.086957,0.086957,2.090909,0.090909,23,0.285714,61
320,1,0,5,1828,0,0.8,0.8,1,1,5,0,57
321,2,2,1,60,0,0,0,1,0,1,1,52
322,1,1,3,63,0.666667,0,0,1,0.333333,1.5,0,96
323,16,16,20,133,0.45,0.1,0.15,1.111111,0.277778,4,0.185185,94
324,1,1,2,106,0,0.5,0,1,0,2,0,10
325,11,7,8,322,0,0.625,0,8,0,8,0.285714,24
326,1,2,2,13,0,0,0,1,0,2,0,93
327,3,2,2,85,0.5,0,0,2,1,2,0,47
328,5,6,5,23,1.8,0.2,0,1.666667,0.333333,1.666667,0.1,46
329,3,2,2,41,0.5,1,0,1,0,2,0,10
330,1,0,1,59,1,0,0,1,1,1,0,80
331,23,24,28,35,0.428571,0.107143,0.107143,1.75,0.1875,3.5,0.146341,67
332,3,3,7,489,2.428571,0.285714,0.285714,1.75,1,2.333333,0.5,101
333,105,104,239,44,0.476987,0.313808,0.029289,1.943089,0.243902,14.058824,0.421769,86
334,19,21,25,19,1,0.24,0,1.666667,0,3.125,0.212121,46
335,16,10,23,84,0.217391,0.086957,0,1.642857,0.857143,11.5,0.238095,18
336,1,1,2,351,0.5,1,0,2,1,2,0,19
337,0,2,2,23,0,0,0,1,0,2,0,34
338,32,38,242,174,0.004132,0.376033,0.024793,20.166667,0.416667,80.666667,0.590909,49
339,2,2,7,114,0.285714,0,0.571429,1.75,0.75,7,1,35
340,1,3,5,54,0.4,0,0.2,1,0.4,5,0,49
341,18,17,19,74,0.842105,0.157895,0.052632,1.266667,0,3.166667,0.206897,70
342,20,19,28,112,0.857143,0.285714,0.035714,2.153846,0.230769,4,0.258065,18
343,1,1,1,42,0,0,0,1,0,1,0,76
344,14,17,38,180,0.342105,0.184211,0.026316,2.111111,0,4.222222,0.24,100
345,2,1,2,97,0,0.5,0,2,1,2,0.5,47
346,2,1,12,272,0.333333,0.416667,0.916667,1.090909,1,2.4,0,53
347,1,0,1,12,0,0,0,1,0,1,0,107
348,1,0,2,132,0,0.5,1,1,0.5,2,0,25
349,52,69,203,94,0.704433,0.172414,0,5.342105,0,29,0.5125,90
350,2,1,1,100,0,1,0,1,0,1,0,104
351,32,20,79,138,0.202532,0.189873,0.012658,2.633333,0.5,39.5,0.268293,99
352,49,44,116,227,0.103448,0.767241,0.043103,2.636364,0.431818,11.6,0.38806,80
353,42,47,68,67,0.338235,0.323529,0,1.581395,0.093023,7.555556,0.271429,47
354,1,0,2,685,0,1,0.5,1,1,2,0,19
355,22,15,20,29,0.2,0,0,1.176471,0,5,0.027778,108
356,30,32,64,59,0.21875,0.28125,0,1.828571,0.028571,9.142857,0.24,11
357,1,1,2,195,0,0,0,2,1,2,1,103
358,10,11,29,127,0.137931,0.344828,0.034483,3.625,0.125,7.25,0.3125,99
359,2,2,2,176,0,1,0,1,0,2,0.333333,83
360,1,2,3,37,0.333333,0,0,1,0.333333,1,0,92
361,102,106,214,41,0.985981,0.200935,0.023364,1.877193,0.061404,14.266667,0.405405,15
362,1,1,2,28,0,0,0,2,1,2,1,69
363,0,2,2,653,1,0.5,0,1,0,2,0,28
364,102,101,219,68,0.826484,0.273973,0.041096,2.147059,0.058824,18.25,0.380952,44
365,3,1,4,51,0,0.25,0,1.333333,0.333333,1.333333,0,33
366,168,175,609,112,0.587849,0.400657,0.021346,2.198556,0.064982,38.0625,0.552036,31
367,201,198,562,72,0.41637,0.327402,0.007117,1.992908,0.148936,35.125,0.552529,59
368,43,40,151,319,0.099338,0.668874,0.02649,5.592593,0.407407,30.2,0.431034,9
